dataset,backbone,horizon,seed,method,status,mse,mae,mse_delta_pct_vs_raw,mae_delta_pct_vs_raw,prediction_path,output_dir,test_threshold_leakage,blocker_reason
ECL,PatchTST,336,2028,HalluGuard-LRBN,completed,114479.235735845,240.41582534673785,-1.043531101763263,-0.24921388216972787,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/halluguard_lrbn/ECL_PatchTST_336_seed2028/ECL_PatchTST_336_unified_revin_rdn_hybrid.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/runs/halluguard_lrbn/ECL_PatchTST_336_seed2028,False,
ECL,PatchTST,336,2028,RevIN,completed,117256.63587798594,241.55342415132077,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_PatchTST_336_seed2028/ECL_PatchTST_336_RevIN.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_PatchTST_336_seed2028,False,
ECL,PatchTST,336,2028,DishTS,completed,123370.08115510817,247.9033812090192,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_PatchTST_336_seed2028/ECL_PatchTST_336_DishTS.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_PatchTST_336_seed2028,False,
ECL,PatchTST,336,2028,SAN,completed,130882.4796553257,260.801702335612,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_PatchTST_336_seed2028/ECL_PatchTST_336_SAN.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_PatchTST_336_seed2028,False,
ECL,PatchTST,336,2028,NST,completed,114627.17223595934,238.64530885881692,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_PatchTST_336_seed2028/ECL_PatchTST_336_NST.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_PatchTST_336_seed2028,False,
ECL,PatchTST,336,2028,TAFAS,completed,116841.96077829639,241.5878338809058,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_PatchTST_336_seed2028/ECL_PatchTST_336_TAFAS.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_PatchTST_336_seed2028,False,
ECL,PatchTST,336,2028,matched_sparse_smoothing,completed,118310.88759707648,244.39925461757113,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ECL_PatchTST_336_seed2028/ECL_PatchTST_336_matched_sparse_smoothing.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ECL_PatchTST_336_seed2028,False,
ECL,PatchTST,336,2028,naive_smoothing,completed,118310.88759707648,244.39925461757113,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ECL_PatchTST_336_seed2028/ECL_PatchTST_336_naive_smoothing.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ECL_PatchTST_336_seed2028,False,
ECL,PatchTST,336,2028,ema_smoothing,completed,135441.47100815267,267.97682139518827,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ECL_PatchTST_336_seed2028/ECL_PatchTST_336_ema_smoothing.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ECL_PatchTST_336_seed2028,False,
ECL,PatchTST,336,2028,median_smoothing,completed,116803.85834194323,241.98390450265074,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ECL_PatchTST_336_seed2028/ECL_PatchTST_336_median_smoothing.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ECL_PatchTST_336_seed2028,False,
ECL,PatchTST,720,2026,raw_no_correction,completed,136436.7415119811,270.648426218533,0.0,0.0,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/raw/ECL_PatchTST_720_seed2026/ECL_PatchTST_720_raw_no_correction.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/runs/halluguard_lrbn/ECL_PatchTST_720_seed2026,False,
ECL,PatchTST,720,2026,HalluGuard-LRBN,completed,144279.33592867153,275.82923634941955,5.748154294641921,1.9142214138364586,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/halluguard_lrbn/ECL_PatchTST_720_seed2026/ECL_PatchTST_720_unified_revin_rdn_hybrid.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/runs/halluguard_lrbn/ECL_PatchTST_720_seed2026,False,
ECL,PatchTST,720,2026,RevIN,completed,146120.4751280292,277.9375371685112,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_PatchTST_720_seed2026/ECL_PatchTST_720_RevIN.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_PatchTST_720_seed2026,False,
ECL,PatchTST,720,2026,DishTS,completed,146441.17903128083,278.6020071736654,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_PatchTST_720_seed2026/ECL_PatchTST_720_DishTS.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_PatchTST_720_seed2026,False,
ECL,PatchTST,720,2026,SAN,completed,155356.24530713764,292.67821777303067,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_PatchTST_720_seed2026/ECL_PatchTST_720_SAN.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_PatchTST_720_seed2026,False,
ECL,PatchTST,720,2026,NST,completed,150627.47632496484,281.6769893513997,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_PatchTST_720_seed2026/ECL_PatchTST_720_NST.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_PatchTST_720_seed2026,False,
