dataset,method,completed_rows,total_rows,blocked_rows,mean_mse,mean_mae,mean_mse_delta_pct_vs_raw,median_mse_delta_pct_vs_raw,improved_configs,max_mse_harm_pct,best_mse_gain_pct,test_threshold_leakage
ECL,DishTS,60,60,0,123582.43241908996,251.34823794666323,3.3311883274966245,2.6587999114329453,14,28.36955270163316,-19.2162245254691,False
ECL,HalluGuard-LRBN,60,60,0,122558.99795216824,250.08266104253937,2.30219653440898,2.4420516879896272,18,12.811436045966696,-9.842731360648388,False
ECL,NST,60,60,0,122938.00867545459,250.43234254380144,2.731595260375699,2.229655054592106,18,18.311125432194174,-13.008187682378649,False
ECL,RevIN,60,60,0,122254.06442036145,249.8699224876546,2.0599928590659458,1.6132701218249885,17,21.933587366189848,-11.671885898398047,False
ECL,SAN,60,60,0,136087.95627421758,266.7196840999989,14.152573806184844,13.256217479975808,0,55.884706209050705,0.11976598433839244,False
ECL,TAFAS,60,60,0,120331.38100645937,248.30823101183486,0.49797026988525844,-0.014572769021069503,30,13.334628071286902,-10.99976050874082,False
ECL,ema_smoothing,60,60,0,140605.827676325,274.7987861410549,17.70539323525371,18.590955931042572,0,23.822045205371694,9.538367625768004,False
ECL,matched_sparse_smoothing,60,60,0,120778.12585920203,248.3771666849473,0.8956191985013648,0.7763734599871852,13,3.224465475655172,-2.0669625575173023,False
ECL,median_smoothing,60,60,0,120034.63438293096,247.392507369429,0.23528475902463641,0.2042515911462526,21,1.353355713749074,-0.8153823151547906,False
ECL,naive_smoothing,60,60,0,120778.12585920203,248.3771666849473,0.8956191985013648,0.7763734599871852,13,3.224465475655172,-2.0669625575173023,False
ECL,raw_no_correction,60,60,0,119773.39691845713,247.57791975504304,0.0,0.0,0,0.0,0.0,False
ETTh1,DishTS,60,60,0,6.611737485984141,1.9741499063170798,-3.0768838446287936,0.38370323609878665,25,9.935272958569005,-50.100457141578055,False
ETTh1,HalluGuard-LRBN,60,60,0,6.583462658698196,1.9711152915935697,-3.584264406354279,-0.11998369661249066,33,7.813894428470166,-46.88045238325635,False
ETTh1,NST,60,60,0,6.59334071920714,1.9722324664172866,-3.4237997184188016,-0.5727570458590991,36,9.295525133434353,-46.708099157239054,False
